contour_id,level,lon,lat
0,-210.0,-16.760058394962982,65.03695762970803
0,-210.0,-16.760188698064898,65.03695580644892
0,-210.0,-16.76022993631251,65.03695502709128
0,-210.0,-16.76040147766204,65.03693278827355
0,-210.0,-16.760573019011566,65.03693278827355
0,-210.0,-16.760744560361097,65.03691074399542
0,-210.0,-16.760916101710624,65.03688590839741
0,-210.0,-16.761087643060154,65.03687014058062
0,-210.0,-16.76125918440968,65.03687224747057
0,-210.0,-16.76143072575921,65.03687224747057
0,-210.0,-16.76160226710874,65.0368716665617
0,-210.0,-16.761773808458265,65.0368816382661
0,-210.0,-16.761945349807796,65.03688365946078
0,-210.0,-16.762116891157323,65.03686056066712
0,-210.0,-16.762288432506853,65.03685106250924
0,-210.0,-16.76245997385638,65.03683788537393
0,-210.0,-16.76263151520591,65.03679912958754
0,-210.0,-16.762674071067657,65.03678386355405
0,-210.0,-16.762803056555438,65.03673072566806
0,-210.0,-16.762974597904968,65.03667898107061
0,-210.0,-16.763146139254495,65.03667898107061
0,-210.0,-16.763317680604025,65.03663617519292
0,-210.0,-16.763440874350863,65.0366119206592
0,-210.0,-16.763489221953552,65.03660043898165
0,-210.0,-16.76366076330308,65.03656649039372
0,-210.0,-16.76383230465261,65.03652394086086
0,-210.0,-16.764003846002137,65.03652394086086
0,-210.0,-16.764175387351667,65.03647623594757
0,-210.0,-16.76431737422278,65.03643997776435
0,-210.0,-16.764346928701194,65.03643023743264
0,-210.0,-16.764518470050724,65.0363791113856
0,-210.0,-16.76469001140025,65.03633269480108
0,-210.0,-16.76486155274978,65.03640777521382
0,-210.0,-16.76503309409931,65.03632514181274
0,-210.0,-16.76516620355816,65.03626803486948
0,-210.0,-16.76520463544884,65.03625562794507
0,-210.0,-16.76525994325997,65.0362680348695
0,-210.0,-16.765376176798366,65.03628762090395
0,-210.0,-16.765452412384963,65.03626803486948
0,-210.0,-16.765547718147893,65.03622875294127
0,-210.0,-16.765719259497423,65.03619993048017
0,-210.0,-16.76589080084695,65.03616003434095
0,-210.0,-16.76606234219648,65.03609613093113
0,-210.0,-16.76606246572178,65.03609609197463
0,-210.0,-16.766233883546008,65.03592686671823
0,-210.0,-16.766405424895538,65.03592563167383
0,-210.0,-16.766412854226612,65.03592414907978
0,-210.0,-16.76651105446933,65.03575220618491
0,-210.0,-16.766405424895538,65.03566352514378
0,-210.0,-16.766233883546008,65.03566352514378
0,-210.0,-16.766167259099287,65.03558026329006
0,-210.0,-16.766233883546008,65.03552987358171
0,-210.0,-16.76635670195475,65.0354083203952
0,-210.0,-16.766405424895538,65.0353755582891
0,-210.0,-16.766576966245065,65.03529462348475
0,-210.0,-16.76670075037678,65.03523637750034
0,-210.0,-16.766748507594595,65.03521386940787
0,-210.0,-16.766920048944122,65.03511982525697
0,-210.0,-16.767091590293653,65.03511982525697
0,-210.0,-16.767193758357426,65.03506443460549
0,-210.0,-16.76726313164318,65.03502464798136
0,-210.0,-16.767434672992707,65.03496768087055
0,-210.0,-16.767606214342237,65.03492214674426
0,-210.0,-16.767721534252985,65.03489249171064
0,-210.0,-16.767777755691764,65.03487667860114
0,-210.0,-16.767949297041294,65.03486893241123
0,-210.0,-16.76812083839082,65.03478703431662
0,-210.0,-16.768265873628756,65.03472054881577
0,-210.0,-16.768292379740352,65.03470737031564
0,-210.0,-16.768463921089882,65.0346598053616
0,-210.0,-16.768635462439413,65.0346598053616
0,-210.0,-16.768807003788936,65.03463348778745
0,-210.0,-16.768978545138467,65.0346110853408
0,-210.0,-16.769150086487993,65.03456889294809
0,-210.0,-16.76920091903759,65.03454860592092
0,-210.0,-16.76932162783752,65.03442621260156
0,-210.0,-16.76949316918705,65.03442621260156
0,-210.0,-16.76952292301528,65.03437666302607
0,-210.0,-16.76952814380932,65.0342047201312
0,-210.0,-16.769615946900966,65.03403277723635
0,-210.0,-16.769664710536578,65.03392020038675
0,-210.0,-16.769691228314908,65.0338608343415
0,-210.0,-16.769664710536578,65.0337712702456
0,-210.0,-16.769635249994703,65.03368889144663
0,-210.0,-16.769595108904713,65.03351694855178
0,-210.0,-16.769664710536578,65.03338601915108
0,-210.0,-16.769685608324302,65.03334500565693
0,-210.0,-16.769836251886108,65.03319324217652
0,-210.0,-16.770007793235635,65.03319324217652
0,-210.0,-16.770032691526488,65.03317306276206
0,-210.0,-16.770179334585166,65.03309092189463
0,-210.0,-16.770323596001354,65.03300111986721
0,-210.0,-16.770350875934692,65.03297332503956
0,-210.0,-16.770476398011144,65.03282917697236
0,-210.0,-16.77050061452385,65.03265723407749
0,-210.0,-16.770522417284223,65.03262123802723
0,-210.0,-16.770603803045436,65.03248529118264
0,-210.0,-16.770522417284223,65.03233465902116
0,-210.0,-16.770350875934692,65.03233465902116
0,-210.0,-16.7703353489126,65.03231334828779
0,-210.0,-16.77027728237733,65.03214140539292
0,-210.0,-16.770350875934692,65.03204157564208
0,-210.0,-16.770407271044043,65.03196946249807
0,-210.0,-16.77049517626954,65.03179751960322
0,-210.0,-16.770522417284223,65.03177867469375
0,-210.0,-16.770668785647985,65.03162557670835
0,-210.0,-16.77069395863375,65.03160464507974
0,-210.0,-16.77086549998328,65.03145666178091
0,-210.0,-16.771037041332807,65.03145522232253
0,-210.0,-16.771039768722943,65.0314536338135
0,-210.0,-16.77113133795904,65.03128169091865
0,-210.0,-16.771134044180787,65.03110974802377
0,-210.0,-16.771037041332807,65.03094134265689
0,-210.0,-16.77103453272759,65.03093780512893
0,-210.0,-16.77086575732239,65.03076586223408
0,-210.0,-16.77086549998328,65.03076525963047
0,-210.0,-16.77069395863375,65.03068010082976
0,-210.0,-16.770619664236172,65.03059391933921
0,-210.0,-16.770522417284223,65.03050438579548
0,-210.0,-16.77041365968987,65.03042197644436
0,-210.0,-16.770350875934692,65.03037217199079
0,-210.0,-16.770244198525297,65.0302500335495
0,-210.0,-16.770179334585166,65.03012469673898
0,-210.0,-16.770157135367125,65.03007809065464
0,-210.0,-16.77009759032256,65.02990614775979
0,-210.0,-16.77001294695733,65.02973420486494
0,-210.0,-16.770007793235635,65.02972759355644
0,-210.0,-16.76985269494724,65.02956226197007
0,-210.0,-16.769836251886108,65.02954524326017
0,-210.0,-16.769690643657302,65.02939031907522
0,-210.0,-16.769664710536578,65.0293269294415
0,-210.0,-16.7696150779182,65.02921837618037
0,-210.0,-16.76949316918705,65.02911746695717
0,-210.0,-16.769395212062534,65.0290464332855
0,-210.0,-16.76932162783752,65.02898187471646
0,-210.0,-16.769150086487993,65.02898187471646
0,-210.0,-16.76900208156734,65.02887449039065
0,-210.0,-16.768978545138467,65.02884218295003
0,-210.0,-16.768853782214364,65.0287025474958
0,-210.0,-16.768807003788936,65.02853674930275
0,-210.0,-16.768805187686205,65.02853060460093
0,-210.0,-16.768724503915195,65.02835866170608
0,-210.0,-16.76863546243941,65.02823963146501
0,-210.0,-16.76859580037064,65.02818671881123
0,-210.0,-16.768591668641623,65.02801477591636
0,-210.0,-16.76863546243941,65.02795421173124
0,-210.0,-16.76869684082688,65.02784283302151
0,-210.0,-16.76874324603006,65.02767089012664
0,-210.0,-16.768807003788936,65.02762327895985
0,-210.0,-16.76894492793109,65.02749894723179
0,-210.0,-16.768978545138467,65.02744110192315
0,-210.0,-16.7690332345836,65.02732700433694
0,-210.0,-16.769150086487993,65.02721603061497
0,-210.0,-16.769216558436913,65.02715506144209
0,-210.0,-16.76932162783752,65.02704946418947
0,-210.0,-16.76949316918705,65.02701331170059
0,-210.0,-16.769572102900447,65.02698311854722
0,-210.0,-16.769619438542122,65.02681117565237
0,-210.0,-16.76962730203329,65.02663923275752
0,-210.0,-16.76958126236481,65.02646728986265
0,-210.0,-16.76949316918705,65.02630562318738
0,-210.0,-16.769486425168463,65.0262953469678
0,-210.0,-16.769448797410067,65.02612340407295
